structure,mixingenergy
O96Ti1Ru41Ge3Mn3,-0.932
O96Ti1Ru41Zn3V3,-8.840
O96Ti1Ru42Zn3Fe2,-10.508
O96Ti1Ru43Pd1Fe3,-1.984
O96Ti1Ru43Y1Ge3,0.128
O96Ti1Ru45Cd1Mo1,-3.860
O96Ti1Ru45In2,-4.516
O96Ti1Ru45Sn1Tc1,-0.973
O96Ti1Ru45Tc1Zn1,-3.093
O96Ti1Ru46Mo1,-0.992
O96Tl1Ru43Bi3Fe1,-10.921
O96Tl1Ru43Ge2Zn2,-10.074
O96Tl1Ru43Os1Nb3,-7.299
O96Tl1Ru43Sn1Tc3,-6.212
O96Tl1Ru44Au2Ta1,-9.076
O96Tl1Ru44Po1Zn2,-10.813
O96Tl1Ru45Cr2,-6.298
O96Tl1Ru45Mo1Cu1,-8.001
O96Tl1Ru46Cu1,-7.064
O96Tl1Ru46Ni1,-6.388
O96V1Ru41Nb3Zn3,-11.933
O96V1Ru41Zr3Ga3,-5.409
O96V1Ru42Ga3Cu2,-5.603
O96V1Ru42Sb3Sc2,-6.909
O96V1Ru43Ge1Cr3,-1.011
O96V1Ru43Ti3Sc1,-2.144
O96V1Ru44Ga1Fe2,-2.639
O96V1Ru44Tc1Ti2,-0.837
O96V1Ru45Sb1Tc1,-1.755
O96V1Ru46Ge1,-0.511
O96W1Ru42Po3Nb2,-6.279
O96W1Ru42Ta3Ag2,-9.224
O96W1Ru43Os2Re2,-3.087
O96W1Ru43Ta2V2,-4.232
O96W1Ru44Ag2Fe1,-4.526
O96W1Ru44Hf2Cd1,-3.399
O96W1Ru44Os1Cu2,-5.057
O96W1Ru44Tl2Ir1,-1.411
O96W1Ru45Po2,-1.704
O96W1Ru46Cd1,-3.800
O96Y1Ru41Ga3Mn3,-9.286
O96Y1Ru41Pd3Nb3,-7.032
O96Y1Ru42Ag3Nb2,-10.850
O96Y1Ru42Zr3Fe2,-5.153
O96Y1Ru43Cu1Ni3,-8.190
O96Y1Ru43Sn3Mo1,-3.436
O96Y1Ru44Cd2Zr1,-9.075
O96Y1Ru44Sb2Cd1,-6.416
O96Y1Ru45Nb1Sc1,-6.288
O96Y1Ru46Co1,-4.683
O96Zn1Ru41Ga3Mn3,-7.977
O96Zn1Ru42Cd3Ge2,-10.870
O96Zn1Ru42Y3Ti2,-11.410
O96Zn1Ru43Cd3Fe1,-11.867
O96Zn1Ru43Nb2Ga2,-8.706
O96Zn1Ru43Sb1Ga3,-7.826
O96Zn1Ru44Ga1Cr2,-5.014
O96Zn1Ru45Rh1Co1,-4.540
O96Zn1Ru46Cu1,-4.786
O96Zn1Ru46Pd1,-3.967
O96Zr1Ru41Ag3Sc3,-8.211
O96Zr1Ru41Rh3Sc3,-6.133
O96Zr1Ru41Sn3Sc3,-5.633
O96Zr1Ru42Pd3Ni2,-3.149
O96Zr1Ru43Sb2Ge2,-1.720
O96Zr1Ru44Ge3,-1.007
O96Zr1Ru44Zn3,-8.477
O96Zr1Ru45Ag1Y1,-4.536
O96Zr1Ru45Sb1Nb1,-2.911
O96Zr1Ru46Cr1,-0.601
